enrollment_id,time,event,username
482,2014-06-20 16:17:08,navigate,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:17:17,navigate,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:18:24,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:18:24,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:18:53,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:18:54,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:19:17,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:19:18,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:19:25,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:19:25,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:19:48,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:19:48,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:19:49,video,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:22:03,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:23:13,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:23:35,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:23:35,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:24:41,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:24:42,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:24:42,video,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:25:27,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:25:28,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:25:28,video,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:26:44,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:26:44,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:26:45,video,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:27:32,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:27:34,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:28:28,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:28:29,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:28:29,video,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:30:04,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-20 16:30:04,video,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:02:31,navigate,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:02:40,navigate,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:02:44,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:02:44,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:03:36,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:03:37,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:13:44,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:13:45,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:13:45,video,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:15:14,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:15:14,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:15:14,video,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:34:31,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:34:34,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:34:35,video,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:38:49,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:54:57,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:54:58,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:54:58,video,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:55:27,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:55:30,discussion,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:55:31,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:55:40,discussion,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:57:57,discussion,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 16:59:20,navigate,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-23 17:07:44,navigate,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-24 09:58:58,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-24 09:59:10,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-24 09:59:17,page_close,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
482,2014-06-24 10:16:51,access,CROimDxOHTGrmo0KgYAQthGd8AcAioLZ
